"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00931787490845,2482.51939559,0.0049250125885,4389.02773055,0.000407934188843,3842.48071206
10,0.016480922699,2857.99151375,0.00661706924438,2525.81120404,0.000425100326538,3687.59421363
15,0.0222580432892,2371.60203411,0.00809502601624,1476.87862418,0.000453948974609,2996.70453611
20,0.0297138690948,2663.06561744,0.00965595245361,1447.20440183,0.000493049621582,1862.31480022
25,0.0368039608002,2169.2756913,0.011234998703,789.068041084,0.000617980957031,1288.77249095
30,0.0499730110168,2397.09353492,0.0125131607056,873.023803002,0.000505924224854,1272.22083082
35,0.0520749092102,2084.00591352,0.0143990516663,2091.4897586,0.000508069992065,1267.41404761
40,0.0584847927094,2191.5938197,0.0155110359192,1828.70034953,0.000554084777832,1166.25457761
45,0.0657939910889,1121.1960024,0.0167870521545,1544.23900602,0.00058913230896,1092.13805362
50,0.0726020336151,1817.36678336,0.0189399719238,1641.61254332,0.000572919845581,1092.13805362
55,0.0865330696106,1704.56523686,0.0204689502716,1646.58870556,0.000752925872803,951.074358071
60,0.0846381187439,992.204085044,0.0216989517212,3123.0705605,0.000641107559204,951.074358071
65,0.0915567874908,1072.44260389,0.0233199596405,3090.24119374,0.000635147094727,951.074358071
70,0.0992259979248,983.601677985,0.0245749950409,3007.5458942,0.000699996948242,849.653450945
75,0.104487895966,1578.29195551,0.0263550281525,2066.01828872,0.000703096389771,849.653450945
80,0.110857963562,927.880591717,0.027382850647,1989.00016278,0.000707864761353,849.653450945
85,0.117211103439,922.903642717,0.0286989212036,1811.06009911,0.000701189041138,849.653450945
90,0.122574806213,809.934430411,0.0299501419067,2186.25683164,0.000764846801758,730.056383467
95,0.129608869553,890.666585933,0.0311009883881,1279.41694755,0.000777959823608,730.056383467
100,0.134166002274,1536.44538023,0.032986164093,1230.18645825,0.000766038894653,730.056383467
