"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00793790817261,55886.5577308,0.00514101982117,63908.615364,0.000378131866455,23069.7862366
10,0.0159010887146,52992.9712577,0.00667405128479,29082.6884516,0.000404834747314,18391.3189888
15,0.0232930183411,55560.6458986,0.00886416435242,54510.4925434,0.000437021255493,24103.3602423
20,0.0298728942871,7704.29480492,0.00960898399353,20678.1076934,0.000488042831421,13394.7555763
25,0.0367240905762,27227.7093266,0.0114419460297,25097.5296168,0.000535011291504,12960.7659877
30,0.0439829826355,8930.2272462,0.0128829479218,19908.7472383,0.000673055648804,12960.7659877
35,0.0503091812134,18806.0876967,0.0142600536346,20368.6994248,0.000527143478394,12788.5015869
40,0.0574870109558,7975.15020491,0.0155692100525,15803.2955926,0.000562906265259,12101.2540099
45,0.0647878646851,16776.4877256,0.0177569389343,15446.4539914,0.000557899475098,12101.2540099
50,0.0714840888977,18045.3567968,0.0184240341187,52165.9154231,0.000627040863037,9893.75689923
55,0.0778999328613,19088.585728,0.0197319984436,52260.5872454,0.000634908676147,9893.75689923
60,0.0848090648651,7437.8800492,0.0211901664734,52067.9406143,0.000626087188721,9893.75689923
65,0.0915088653564,11457.8842244,0.0225608348846,25001.3840748,0.000728130340576,9127.99787868
70,0.0993249416351,4944.88952883,0.0239789485931,25271.3013283,0.000731945037842,9127.99787868
75,0.104775905609,6381.01294335,0.0252821445465,25013.6969277,0.000757932662964,9127.99787868
80,0.11069893837,11403.3311113,0.0264928340912,55940.3847244,0.000899076461792,9127.99787868
85,0.117068052292,10588.789995,0.027941942215,49580.73229,0.000738143920898,9127.99787868
90,0.123519897461,10642.4504379,0.0418560504913,48785.8421827,0.000976085662842,9127.99787868
95,0.131350040436,4848.1465266,0.0312089920044,21880.4432135,0.000937938690186,4524.6946931
100,0.135705947876,16451.9769428,0.0329730510712,21428.1518418,0.00140690803528,4524.6946931
